dataset_name,run_mode,feature_set,experiment_name,window_type,scenario_name,method_name,deployable,oracle_type,fallback_used,fallback_type,fallback_reason,WAPE,inventory_cost,planning_volatility,execution_penalty,execution_violation_rate,model_switch_count,max_period_plan_change_pct,normalized_inventory_component,normalized_volatility_component,normalized_execution_component,normalized_switch_component,normalized_total_loss,gap_to_dp_oracle,gap_to_perfect_oracle,rank_by_WAPE,rank_by_execution_penalty,rank_by_normalized_total_loss,strategy
walmart,quick,history_plus_context,context_robustness,all,dataco_median,Simple Ensemble,True,none,False,none,none,0.06,22650598.965,104.078,45714.472,0.025,0,3.272,1.123,0.095,0.265,0.0,1.483,0.306,-3.478,7,6,7,simple_ensemble
walmart,quick,history_plus_context,context_robustness,all,dataco_median,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.308,0.238,4.414,0.0,4.96,3.784,0.0,1,8,8,oracle_realized_demand
walmart,quick,history_plus_context,context_robustness,all,dataco_high,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11822607.141,139.044,12227.882,0.014,1817,5.532,0.586,0.127,0.074,0.392,1.179,0.0,-3.976,2,1,1,oracle_dp_feasibility_selector
walmart,quick,history_plus_context,context_robustness,all,dataco_high,Budgeted DP,True,none,False,none,none,0.058,20785375.99,102.452,33796.04,0.009,128,4.143,1.031,0.093,0.204,0.028,1.356,0.177,-3.8,5,3,2,budgeted_dp_feasibility_selector
walmart,quick,history_plus_context,context_robustness,all,dataco_high,DP Feasibility,True,none,False,none,none,0.057,20663849.34,104.517,33619.968,0.008,241,4.143,1.025,0.095,0.203,0.052,1.375,0.196,-3.781,3,2,3,dp_feasibility_selector
walmart,quick,history_plus_context,context_robustness,all,dataco_high,Greedy Feasibility,True,none,False,none,none,0.058,21114985.247,111.922,35568.827,0.01,222,4.143,1.047,0.102,0.215,0.048,1.412,0.233,-3.744,6,4,4,greedy_feasibility_selector
walmart,quick,history_plus_context,context_robustness,all,dataco_high,Global Best,True,none,False,none,none,0.057,20167239.29,109.817,56342.083,0.028,0,3.111,1.0,0.1,0.341,0.0,1.441,0.261,-3.715,4,7,5,global_best_model
walmart,quick,history_plus_context,context_robustness,all,dataco_high,Operational Ensemble,True,none,False,none,none,0.061,23046861.444,84.903,36983.469,0.019,0,2.856,1.143,0.077,0.224,0.0,1.444,0.264,-3.712,8,5,6,operational_loss_ensemble
walmart,quick,history_plus_context,context_robustness,all,dataco_high,Simple Ensemble,True,none,False,none,none,0.06,22650598.965,104.078,45714.472,0.025,0,3.272,1.123,0.095,0.276,0.0,1.494,0.315,-3.661,7,6,7,simple_ensemble
walmart,quick,history_plus_context,context_robustness,all,dataco_high,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.308,0.238,4.61,0.0,5.156,3.976,0.0,1,8,8,oracle_realized_demand
walmart,quick,history_plus_context,context_robustness,all,dataco_severe,Realized-Inventory Oracle DP,False,realized_inventory_oracle,False,none,none,0.038,11822607.141,139.044,12227.882,0.014,1817,5.532,0.586,0.127,0.109,0.392,1.214,0.0,-6.104,2,1,1,oracle_dp_feasibility_selector
walmart,quick,history_plus_context,context_robustness,all,dataco_severe,Budgeted DP,True,none,False,none,none,0.058,20785375.99,102.452,33796.04,0.009,128,4.143,1.031,0.093,0.3,0.028,1.452,0.238,-5.867,5,3,2,budgeted_dp_feasibility_selector
walmart,quick,history_plus_context,context_robustness,all,dataco_severe,DP Feasibility,True,none,False,none,none,0.057,20663849.34,104.517,33619.968,0.008,241,4.143,1.025,0.095,0.299,0.052,1.47,0.257,-5.848,3,2,3,dp_feasibility_selector
walmart,quick,history_plus_context,context_robustness,all,dataco_severe,Greedy Feasibility,True,none,False,none,none,0.058,21114985.247,111.922,35568.827,0.01,222,4.143,1.047,0.102,0.316,0.048,1.513,0.299,-5.806,6,4,4,greedy_feasibility_selector
walmart,quick,history_plus_context,context_robustness,all,dataco_severe,Operational Ensemble,True,none,False,none,none,0.061,23046861.444,84.903,36983.469,0.019,0,2.856,1.143,0.077,0.328,0.0,1.549,0.335,-5.77,8,5,5,operational_loss_ensemble
walmart,quick,history_plus_context,context_robustness,all,dataco_severe,Global Best,True,none,False,none,none,0.057,20167239.29,109.817,56342.083,0.028,0,3.111,1.0,0.1,0.5,0.0,1.6,0.386,-5.718,4,7,6,global_best_model
walmart,quick,history_plus_context,context_robustness,all,dataco_severe,Simple Ensemble,True,none,False,none,none,0.06,22650598.965,104.078,45714.472,0.025,0,3.272,1.123,0.095,0.406,0.0,1.624,0.41,-5.694,7,6,7,simple_ensemble
walmart,quick,history_plus_context,context_robustness,all,dataco_severe,Realized Demand Oracle,False,perfect_demand_oracle,False,none,none,0.0,6203852.169,261.641,762653.598,0.114,0,5.459,0.308,0.238,6.772,0.0,7.318,6.104,0.0,1,8,8,oracle_realized_demand
