dataset_name,run_mode,grain_level,intermittency_bucket,scenario_name,method_name,WAPE,inventory_cost,planning_volatility,execution_penalty,execution_violation_rate,model_switch_count,normalized_inventory_component,normalized_volatility_component,normalized_execution_component,normalized_switch_component,normalized_total_loss,gap_to_dp_oracle,gap_to_perfect_oracle,rank_by_WAPE,rank_by_execution_penalty,rank_by_normalized_total_loss,strategy,module_name
m5,quick,item_store,all,dataco_low,Operational Ensemble,0.35600000000000004,108135.916,103492280.599,301.579,0.024,0,0.977,0.318,0.075,0.0,1.37,,-8.343,3,2,2,operational_loss_ensemble,dataco_scenario_robustness
m5,quick,item_store,all,dataco_low,Global Best,0.368,110676.328,162696085.273,1279.259,0.08900000000000001,0,1.0,0.5,0.318,0.0,1.818,,-7.895,4,3,3,global_best_model,dataco_scenario_robustness
m5,quick,item_store,all,dataco_low,Simple Ensemble,0.332,99640.008,180837097.651,4450.693,0.233,0,0.9,0.556,1.105,0.0,2.5610000000000004,,-7.151999999999999,2,5,4,simple_ensemble,dataco_scenario_robustness
m5,quick,item_store,all,dataco_low,Feasibility-Aware,0.371,113801.405,698994798.344,1964.178,0.075,661,1.028,2.148,0.488,0.5,4.164,,-5.5489999999999995,6,4,5,feasibility_aware_selector,dataco_scenario_robustness
m5,quick,item_store,all,dataco_low,Best Stability,0.408,120773.556,98996562.163,26601.482000000004,0.552,0,1.091,0.304,6.604,0.0,7.999,,-1.7139999999999995,7,7,6,best_stability_model,dataco_scenario_robustness
m5,quick,item_store,all,dataco_low,Oracle,0.0,30439.038,1012058598.054,25490.556,0.5429999999999999,0,0.275,3.11,6.3279999999999985,0.0,9.713,,0.0,1,6,7,oracle_realized_demand,dataco_scenario_robustness
m5,quick,item_store,all,dataco_median,Smoothed Alpha 0.25,0.368,112942.274,40225501.493,101.408,0.01,0,1.02,0.124,0.026,0.0,1.17,,-8.713,4,1,1,feasibility_aware_smoothed_alpha_0_25,dataco_scenario_robustness
m5,quick,item_store,all,dataco_median,Operational Ensemble,0.35600000000000004,108135.916,103492280.599,301.579,0.024,0,0.977,0.318,0.077,0.0,1.372,,-8.511,3,2,2,operational_loss_ensemble,dataco_scenario_robustness
m5,quick,item_store,all,dataco_median,Global Best,0.368,110676.328,162696085.273,1279.259,0.08900000000000001,0,1.0,0.5,0.326,0.0,1.826,,-8.056999999999999,4,3,3,global_best_model,dataco_scenario_robustness
m5,quick,item_store,all,dataco_median,Simple Ensemble,0.332,99640.008,180837097.651,4450.693,0.233,0,0.9,0.556,1.135,0.0,2.591,,-7.291999999999999,2,5,4,simple_ensemble,dataco_scenario_robustness
m5,quick,item_store,all,dataco_median,Feasibility-Aware,0.371,113801.405,698994798.344,1964.178,0.075,661,1.028,2.148,0.501,0.5,4.177,,-5.7059999999999995,6,4,5,feasibility_aware_selector,dataco_scenario_robustness
m5,quick,item_store,all,dataco_median,Best Stability,0.408,120773.556,98996562.163,26601.482000000004,0.552,0,1.091,0.304,6.7810000000000015,0.0,8.177,,-1.7059999999999995,7,7,6,best_stability_model,dataco_scenario_robustness
m5,quick,item_store,all,dataco_median,Oracle,0.0,30439.038,1012058598.054,25490.556,0.5429999999999999,0,0.275,3.11,6.497999999999998,0.0,9.883,,0.0,1,6,7,oracle_realized_demand,dataco_scenario_robustness
m5,quick,item_store,all,dataco_high,Smoothed Alpha 0.25,0.368,112942.274,40225501.493,101.408,0.01,0,1.02,0.124,0.027000000000000003,0.0,1.171,,-9.0,4,1,1,feasibility_aware_smoothed_alpha_0_25,dataco_scenario_robustness
m5,quick,item_store,all,dataco_high,Operational Ensemble,0.35600000000000004,108135.916,103492280.599,301.579,0.024,0,0.977,0.318,0.08,0.0,1.375,,-8.796,3,2,2,operational_loss_ensemble,dataco_scenario_robustness
m5,quick,item_store,all,dataco_high,Global Best,0.368,110676.328,162696085.273,1279.259,0.08900000000000001,0,1.0,0.5,0.341,0.0,1.841,,-8.33,4,3,3,global_best_model,dataco_scenario_robustness
m5,quick,item_store,all,dataco_high,Simple Ensemble,0.332,99640.008,180837097.651,4450.693,0.233,0,0.9,0.556,1.185,0.0,2.641,,-7.529999999999999,2,5,4,simple_ensemble,dataco_scenario_robustness
m5,quick,item_store,all,dataco_high,Feasibility-Aware,0.371,113801.405,698994798.344,1964.178,0.075,661,1.028,2.148,0.523,0.5,4.199,,-5.9719999999999995,6,4,5,feasibility_aware_selector,dataco_scenario_robustness
m5,quick,item_store,all,dataco_high,Best Stability,0.408,120773.556,98996562.163,26601.482000000004,0.552,0,1.091,0.304,7.082000000000002,0.0,8.477,,-1.693999999999999,7,7,6,best_stability_model,dataco_scenario_robustness
m5,quick,item_store,all,dataco_high,Oracle,0.0,30439.038,1012058598.054,25490.556,0.5429999999999999,0,0.275,3.11,6.7860000000000005,0.0,10.171,,0.0,1,6,7,oracle_realized_demand,dataco_scenario_robustness
m5,quick,item_store,all,dataco_severe,Smoothed Alpha 0.25,0.368,112942.274,40225501.493,101.408,0.01,0,1.02,0.124,0.04,0.0,1.1840000000000002,,-12.171,4,1,1,feasibility_aware_smoothed_alpha_0_25,dataco_scenario_robustness
m5,quick,item_store,all,dataco_severe,Operational Ensemble,0.35600000000000004,108135.916,103492280.599,301.579,0.024,0,0.977,0.318,0.118,0.0,1.413,,-11.942,3,2,2,operational_loss_ensemble,dataco_scenario_robustness
m5,quick,item_store,all,dataco_severe,Global Best,0.368,110676.328,162696085.273,1279.259,0.08900000000000001,0,1.0,0.5,0.5,0.0,2.0,,-11.355,4,3,3,global_best_model,dataco_scenario_robustness
m5,quick,item_store,all,dataco_severe,Simple Ensemble,0.332,99640.008,180837097.651,4450.693,0.233,0,0.9,0.556,1.741,0.0,3.197,,-10.158000000000001,2,5,4,simple_ensemble,dataco_scenario_robustness
m5,quick,item_store,all,dataco_severe,Feasibility-Aware,0.371,113801.405,698994798.344,1964.178,0.075,661,1.028,2.148,0.768,0.5,4.445,,-8.91,6,4,5,feasibility_aware_selector,dataco_scenario_robustness
m5,quick,item_store,all,dataco_severe,Best Stability,0.408,120773.556,98996562.163,26601.482000000004,0.552,0,1.091,0.304,10.404000000000002,0.0,11.799,,-1.556000000000001,7,7,6,best_stability_model,dataco_scenario_robustness
m5,quick,item_store,all,dataco_severe,Oracle,0.0,30439.038,1012058598.054,25490.556,0.5429999999999999,0,0.275,3.11,9.969,0.0,13.355,,0.0,1,6,7,oracle_realized_demand,dataco_scenario_robustness
