run_mode,scenario_name,lambda_execution,late_delivery_rate_anchor,source,fallback_used,method_name,method_family,method_variant,strategy,WAPE,inventory_cost,planning_volatility,execution_penalty,execution_violation_rate,model_switch_count,max_period_plan_change_pct,normalized_inventory_component,normalized_volatility_component,normalized_execution_component,normalized_switch_component,normalized_total_loss,rank_by_normalized_total_loss,rank_by_WAPE,rank_by_execution_penalty,gap_to_oracle,smoothing_alpha,ensemble_weight_basis,ensemble_weight_entropy,selected_blend,validation_cv_normalized_loss
quick,dataco_low,0.318,0.535,dataco_derived,False,Feasibility-Aware,Baseline,,feasibility_aware_selector,0.116,3375551.068,364.328,365116.914,0.232,781,0.581,1.121,0.439,0.212,2.088,3.861,16,11,11,2.335,,,,,
quick,dataco_median,0.326,0.552,dataco_derived,False,Simple Ensemble,ReferenceEnsemble,,simple_ensemble,0.129,3412038.615,246.143,47421.135,0.066,0,0.578,1.133,0.297,0.028,0.0,1.458,1,15,6,-0.078,,,,,
quick,dataco_median,0.326,0.552,dataco_derived,False,Operational Ensemble,FeasibilityAwareEnsemble,inverse_operational_loss_weighted_ensemble,feasibility_aware_ensemble_inverse_operational_loss,0.12,3221611.944,281.493,103964.356,0.122,0,0.599,1.07,0.339,0.062,0.0,1.471,2,14,7,-0.065,,validation_normalized_operational_loss,0.975,,
quick,dataco_median,0.326,0.552,dataco_derived,False,Constrained Ensemble,FeasibilityAwareEnsemble,constrained_weighted_ensemble,feasibility_aware_ensemble_constrained,0.119,3203938.857,286.989,115477.821,0.131,0,0.607,1.064,0.346,0.069,0.0,1.479,3,13,8,-0.058,,blocked_cv_normalized_planning_loss,0.97,0.25,1.682
quick,dataco_median,0.326,0.552,dataco_derived,False,Accuracy Ensemble,FeasibilityAwareEnsemble,inverse_accuracy_weighted_ensemble,feasibility_aware_ensemble_inverse_accuracy,0.117,3157861.074,303.581,154524.33,0.16,0,0.632,1.049,0.366,0.092,0.0,1.507,4,12,9,-0.03,,validation_wape,0.951,,
quick,dataco_median,0.326,0.552,dataco_derived,False,Oracle,Oracle,,oracle_realized_demand,0.0,1633182.571,487.867,680523.022,0.345,0,1.351,0.542,0.588,0.406,0.0,1.537,5,1,16,0.0,,,,,
quick,dataco_median,0.326,0.552,dataco_derived,False,Smoothed Alpha 0.25,FeasibilityAwareSmoothed,fixed_alpha_smoothing,feasibility_aware_smoothed_alpha_0_25,0.109,4515961.102,109.008,102.215,0.001,9,0.226,1.5,0.131,0.0,0.024,1.655,6,8,3,0.119,0.25,,,,1.994
quick,dataco_median,0.326,0.552,dataco_derived,False,Best Stability,Baseline,,best_stability_model,0.188,5263648.54,14.814,0.0,0.0,0,0.184,1.748,0.018,0.0,0.0,1.766,7,16,1,0.229,,,,,
quick,dataco_median,0.326,0.552,dataco_derived,False,Best Inventory,Baseline,,best_inventory_cost_model,0.109,3010924.926,414.964,546133.345,0.284,0,0.764,1.0,0.5,0.326,0.0,1.826,8,6,14,0.289,,,,,
quick,dataco_median,0.326,0.552,dataco_derived,False,Global Best,Baseline,,global_best_model,0.109,3010924.926,414.964,546133.345,0.284,0,0.764,1.0,0.5,0.326,0.0,1.826,8,6,14,0.289,,,,,
quick,dataco_median,0.326,0.552,dataco_derived,False,Family Best,Baseline,,family_best_model,0.11,3064462.341,411.535,537406.724,0.279,0,0.764,1.018,0.496,0.321,0.0,1.835,10,9,13,0.298,,,,,
quick,dataco_median,0.326,0.552,dataco_derived,False,Utility Alpha,FeasibilityAwareSmoothed,utility_based_alpha,feasibility_aware_smoothed_utility_alpha,0.109,5373682.296,42.201,0.0,0.0,0,0.095,1.785,0.051,0.0,0.0,1.836,11,4,1,0.299,0.1,,,,1.98
