scenario_name,lambda_execution,objective_name,method_name,method_family,strategy,metric_value,objective_rank
baseline,0.05,max_period_plan_change_pct,Smoothed Alpha 0.75,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_75,0.525,5
baseline,0.05,max_period_plan_change_pct,Stability-Aware,Baseline,stability_aware_selector,0.531,7
baseline,0.05,max_period_plan_change_pct,Simple Ensemble,ReferenceEnsemble,simple_ensemble,0.578,8
baseline,0.05,max_period_plan_change_pct,Feasibility-Aware,Baseline,feasibility_aware_selector,0.581,9
baseline,0.05,max_period_plan_change_pct,Operational Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_inverse_operational_loss,0.615,10
baseline,0.05,max_period_plan_change_pct,Accuracy Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_inverse_accuracy,0.632,11
baseline,0.05,max_period_plan_change_pct,Constrained Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_constrained,0.632,11
baseline,0.05,max_period_plan_change_pct,Best Inventory,Baseline,best_inventory_cost_model,0.764,13
baseline,0.05,max_period_plan_change_pct,Family Best,Baseline,family_best_model,0.764,13
baseline,0.05,max_period_plan_change_pct,Global Best,Baseline,global_best_model,0.764,13
baseline,0.05,max_period_plan_change_pct,Oracle,Oracle,oracle_realized_demand,1.351,16
baseline,0.05,model_switch_count,Accuracy Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_inverse_accuracy,0.0,1
baseline,0.05,model_switch_count,Best Inventory,Baseline,best_inventory_cost_model,0.0,1
baseline,0.05,model_switch_count,Best Stability,Baseline,best_stability_model,0.0,1
baseline,0.05,model_switch_count,Constrained Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_constrained,0.0,1
baseline,0.05,model_switch_count,Family Best,Baseline,family_best_model,0.0,1
baseline,0.05,model_switch_count,Global Best,Baseline,global_best_model,0.0,1
baseline,0.05,model_switch_count,Operational Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_inverse_operational_loss,0.0,1
baseline,0.05,model_switch_count,Oracle,Oracle,oracle_realized_demand,0.0,1
baseline,0.05,model_switch_count,Simple Ensemble,ReferenceEnsemble,simple_ensemble,0.0,1
baseline,0.05,model_switch_count,Utility Alpha,FeasibilityAwareSmoothed,feasibility_aware_smoothed_utility_alpha,0.0,1
baseline,0.05,model_switch_count,Smoothed Alpha 0.25,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_25,9.0,11
